City_ID,City,Country,Max Temp,Current Description,Lat,Lon,Hotel Name
258,Kruisfontein,ZA,51.48,clear sky,-34.0033,24.7314,Oyster Bay House Rental
266,Ancud,CL,45.93,clear sky,-41.8697,-73.8203,Hotel Arena Gruesa
269,Molteno,ZA,44.91,few clouds,-31.3968,26.3625,Nadirashaleeta B&B
272,Airai,TL,56.64,broken clouds,-8.9266,125.4092,Juvinal Martin
274,Richards Bay,ZA,59.67,clear sky,-28.783,32.0377,BON Hotel Waterfront Richards Bay
275,Ilulissat,GL,57.22,broken clouds,69.2167,-51.1,Hotel Arctic
284,Petropavlovsk-Kamchatskiy,RU,54.19,light intensity shower rain,53.0452,158.6483,The Hotel Petropavlovsky
285,Siteki,SZ,51.19,clear sky,-26.45,31.95,Siteki Hotel
286,Mnogovershinnyy,RU,47.01,overcast clouds,53.9353,139.9242,Obshchezhitiye 14
289,Elbrus,RU,54.16,broken clouds,43.2577,42.6443,Otel' Pik Yevropy
293,Mandurah,AU,49.15,light rain,-32.55,115.7,Atrium Hotel Mandurah
296,Wicklow,IE,52.57,overcast clouds,53.0,-6.4167,Glenmalure Hostel
301,Deniliquin,AU,51.01,overcast clouds,-35.5333,144.9667,Riviana Motel
307,Geraldton,AU,57.13,scattered clouds,-28.7667,114.6,Broadwater Mariner Resort
309,Ayagoz,KZ,54.25,scattered clouds,47.9714,80.4392,Gostinitsa Nur
310,Phalaborwa,ZA,58.28,clear sky,-23.943,31.1411,Bothabelo Bed and Breakfast
317,Sistranda,NO,54.9,overcast clouds,63.7256,8.834,Hotell Frøya
320,Maniitsoq,GL,49.95,broken clouds,65.4167,-52.9,Hotel Heilmann Lyberth
324,Inverell,AU,51.15,clear sky,-29.7833,151.1167,Sapphire City Motor Inn
331,Greymouth,NZ,53.55,light rain,-42.4667,171.2,Kingsgate Hotel Greymouth
333,Muyezerskiy,RU,52.95,broken clouds,63.9333,31.65,"Gostinitsa Ooo ""Lzkh ""Ledmozerskoye"""
336,Flinders,AU,58.05,broken clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
339,Upington,ZA,44.98,clear sky,-28.4478,21.2561,River Place Manor
348,Quthing,LS,44.51,clear sky,-30.4,27.7003,Mountainside Hotel
353,Iskateley,RU,41.4,clear sky,67.6803,53.1512,Hostel Agat
354,Tommot,RU,51.44,few clouds,58.9564,126.2925,Gostinitsa Tommot
366,Krasnoselkup,RU,53.28,broken clouds,65.7,82.4667,Krasnosel'kupnefteprodukt
367,Bilibino,RU,37.78,overcast clouds,68.0546,166.4372,Gostinitsa Severyanka
370,Thohoyandou,ZA,52.61,clear sky,-22.9456,30.485,Masili Guesthouse & Conference
374,Comodoro Rivadavia,AR,49.86,clear sky,-45.8667,-67.5,Austral Hotel
378,Bereda,ES,58.41,overcast clouds,43.2686,-7.5406,Pazo de Verdes
387,Springbok,ZA,54.28,clear sky,-29.6643,17.8865,Undulata Country Lodge
388,Mercedes,AR,54.84,clear sky,-34.6515,-59.4307,Posada del Inti Centro
393,Ulladulla,AU,57.87,overcast clouds,-35.35,150.4667,Sandpiper Motel
396,Ballina,AU,53.56,clear sky,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
401,Okha,RU,52.97,overcast clouds,53.5739,142.9478,Империя
406,Karoi,ZW,52.57,few clouds,-16.8099,29.6925,Chikangwe Guest houses
408,Igarka,RU,56.55,overcast clouds,67.4667,86.5833,"Zapolyar'ye, Gostinitsa"
409,Yermakovskoye,RU,56.23,light rain,53.2831,92.4003,"Oya, Gostinitsa"
410,Clyde River,CA,50.23,few clouds,70.4692,-68.5914,Qamaq Hotel
421,Menongue,AO,52.41,broken clouds,-14.6585,17.691,Ritz Lauca
423,Gejiu,CN,58.82,overcast clouds,23.306,103.1635,Hongtai Commercial Hotel
426,Iqaluit,CA,54.7,light rain,63.7506,-68.5145,Frobisher Inn
435,Rio Claro,BR,55.22,overcast clouds,-22.4114,-47.5614,Hotel Vivendas Rio Claro by Atlantica
440,Ust-Tsilma,RU,46.49,broken clouds,65.441,52.1498,U Praskov'i
446,Kondinskoye,RU,54.82,overcast clouds,59.6481,67.41,Gostinitsa
449,Vardo,NO,46.6,broken clouds,70.3705,31.1107,Vardø Hotel AS
452,Antofagasta,CL,56.48,scattered clouds,-23.65,-70.4,"Holiday Inn Express Antofagasta, an IHG Hotel"
458,Sovetskiy,RU,51.4,few clouds,61.3614,63.5842,Apartment on Kievskaya 29
460,Gravdal,NO,48.87,overcast clouds,68.1214,13.5031,Skreda Rorbusuiter
463,Manger,NO,54.75,clear sky,60.6414,5.0414,«Fiskekroken»
464,Puerto Varas,CL,44.82,overcast clouds,-41.3195,-72.9854,Hotel Solace
466,Xining,CN,55.74,clear sky,36.6167,101.7667,Super Leisure Hotel
472,Launceston,AU,53.24,overcast clouds,-41.45,147.1667,Hotel Grand Chancellor Launceston
480,Rawson,AR,52.57,overcast clouds,-43.3002,-65.1023,Hosteria Sampedro
485,Tres Arroyos,AR,51.69,clear sky,-38.3739,-60.2798,Habitacion Triple con baño y entrada privada
487,Rocha,UY,45.0,clear sky,-34.4833,-54.3333,Beleza Pura B&B
498,Lerwick,GB,51.8,overcast clouds,60.1545,-1.1494,The Lerwick Hotel
499,Lensk,RU,59.7,clear sky,60.7253,114.9278,ТинОрС
503,Moose Factory,CA,59.0,clear sky,51.2585,-80.6094,Moosonee Lilypad
506,Plettenberg Bay,ZA,56.34,clear sky,-34.0527,23.3716,Thanda Vista B&B
516,Taupo,NZ,54.25,broken clouds,-38.6833,176.0833,Lake Taupo Motor Inn
519,Yeniseysk,RU,51.73,few clouds,58.4497,92.1703,"""Domino"""
