City ID,City,Country,Lat,Lon,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Bambous Virieux,MU,-20.3428,57.7575,70.05,64,40,12.66,scattered clouds
80,Upernavik,GL,72.7868,-56.1549,41.05,85,76,14.23,broken clouds
81,New Norfolk,AU,-42.7826,147.0587,54.9,69,82,1.99,light rain
82,Bethel,US,41.3712,-73.414,79.16,52,40,11.5,scattered clouds
83,Kenai,US,60.5544,-151.2583,60.1,74,90,6.91,overcast clouds
84,Husavik,IS,66.0449,-17.3389,53.51,70,3,2.35,clear sky
85,La Ronge,CA,55.1001,-105.2842,77.25,33,75,5.75,smoke
86,Naze,JP,28.3667,129.4833,79.72,83,100,2.44,overcast clouds
87,Faanui,PF,-16.4833,-151.75,77.79,72,83,17.56,broken clouds
88,Poplar Bluff,US,36.757,-90.3929,92.79,70,75,8.21,thunderstorm
89,Polyarnyy,RU,69.1989,33.4478,48.67,72,100,11.79,overcast clouds
90,Nouadhibou,MR,20.931,-17.0347,69.78,88,0,20.71,clear sky
91,Batagay-Alyta,RU,67.8006,130.4114,68.02,30,33,1.72,scattered clouds
92,Hobart,AU,-42.8794,147.3294,55.26,69,75,4.0,light rain
93,Barrow,US,71.2906,-156.7887,51.82,87,90,9.22,light rain
94,Barcelos,PT,41.5388,-8.6151,67.28,87,71,8.16,broken clouds
95,Tasiilaq,GL,65.6145,-37.6368,50.16,79,20,1.03,few clouds
96,Mahebourg,MU,-20.4081,57.7,70.09,64,40,12.66,scattered clouds
97,Hilo,US,19.7297,-155.09,82.13,69,90,9.22,overcast clouds
98,Broken Hill,AU,-31.95,141.4333,55.15,57,0,3.78,clear sky
99,Ipueiras,BR,-7.0333,-40.45,78.51,29,33,10.42,scattered clouds
100,Angouleme,FR,45.65,0.15,59.32,75,0,3.44,clear sky
101,Cururupu,BR,-1.8283,-44.8683,75.16,95,14,3.11,few clouds
102,Nikolskoye,RU,59.7035,30.7861,62.8,66,21,8.03,few clouds
103,Marsaxlokk,MT,35.8419,14.5431,84.07,69,0,6.91,clear sky
104,Karratha,AU,-20.7377,116.8463,65.75,77,61,9.8,broken clouds
105,Nanortalik,GL,60.1432,-45.2371,45.1,83,100,11.5,overcast clouds
106,Casma,CL,-41.0082,-73.1244,47.48,96,47,2.98,scattered clouds
107,Avera,US,33.194,-82.5271,95.72,34,17,7.2,few clouds
108,San Patricio,US,28.017,-97.5169,95.72,48,81,10.94,broken clouds
109,Nome,US,64.5011,-165.4064,51.17,93,90,3.44,light rain
110,Omboue,GA,-1.5746,9.2618,74.17,78,9,8.1,clear sky
